subject,trial_id,condition,onset_s,tr_s,tr_relative,time_from_cue_s,nacc_psc,vta_psc
sub-14,16,neutral,179.0,1.0,8,8.0,-0.6014679074287415,-0.17311348021030426
sub-14,16,neutral,179.0,1.0,9,9.0,0.4860447347164154,0.13652731478214264
sub-14,16,neutral,179.0,1.0,10,10.0,0.32943493127822876,0.46858352422714233
sub-14,16,neutral,179.0,1.0,11,11.0,-0.486770361661911,-1.5694115161895752
sub-14,16,neutral,179.0,1.0,12,12.0,0.5782575011253357,-0.1531868726015091
sub-14,16,neutral,179.0,1.0,13,13.0,0.32943493127822876,-0.7658289670944214
sub-14,17,reward,186.0,1.0,-2,-2.0,-1.2923040390014648,-0.23868972063064575
sub-14,17,reward,186.0,1.0,-1,-1.0,-0.5500257611274719,-0.08428682386875153
sub-14,17,reward,186.0,1.0,0,0.0,-0.4052291512489319,0.17471863329410553
sub-14,17,reward,186.0,1.0,1,1.0,-0.6014679074287415,-0.17311348021030426
sub-14,17,reward,186.0,1.0,2,2.0,0.4860447347164154,0.13652731478214264
sub-14,17,reward,186.0,1.0,3,3.0,0.32943493127822876,0.46858352422714233
sub-14,17,reward,186.0,1.0,4,4.0,-0.486770361661911,-1.5694115161895752
sub-14,17,reward,186.0,1.0,5,5.0,0.5782575011253357,-0.1531868726015091
sub-14,17,reward,186.0,1.0,6,6.0,0.32943493127822876,-0.7658289670944214
sub-14,17,reward,186.0,1.0,7,7.0,-0.6696768999099731,-1.0165330171585083
sub-14,17,reward,186.0,1.0,8,8.0,-0.5664055943489075,-1.0389484167099
sub-14,17,reward,186.0,1.0,9,9.0,0.14652840793132782,-0.05772070959210396
sub-14,17,reward,186.0,1.0,10,10.0,0.5310046076774597,0.07343987375497818
sub-14,17,reward,186.0,1.0,11,11.0,0.04250242933630943,-0.7110429406166077
sub-14,17,reward,186.0,1.0,12,12.0,0.534816563129425,-0.052743107080459595
sub-14,17,reward,186.0,1.0,13,13.0,0.3195277154445648,0.5532594919204712
sub-14,18,neutral,193.0,1.0,-2,-2.0,0.5782575011253357,-0.1531868726015091
sub-14,18,neutral,193.0,1.0,-1,-1.0,0.32943493127822876,-0.7658289670944214
sub-14,18,neutral,193.0,1.0,0,0.0,-0.6696768999099731,-1.0165330171585083
sub-14,18,neutral,193.0,1.0,1,1.0,-0.5664055943489075,-1.0389484167099
sub-14,18,neutral,193.0,1.0,2,2.0,0.14652840793132782,-0.05772070959210396
sub-14,18,neutral,193.0,1.0,3,3.0,0.5310046076774597,0.07343987375497818
sub-14,18,neutral,193.0,1.0,4,4.0,0.04250242933630943,-0.7110429406166077
sub-14,18,neutral,193.0,1.0,5,5.0,0.534816563129425,-0.052743107080459595
sub-14,18,neutral,193.0,1.0,6,6.0,0.3195277154445648,0.5532594919204712
sub-14,18,neutral,193.0,1.0,7,7.0,0.3759234845638275,0.38141876459121704
sub-14,18,neutral,193.0,1.0,8,8.0,-0.44599977135658264,-0.20548409223556519
sub-14,18,neutral,193.0,1.0,9,9.0,-1.182182788848877,-0.23205021023750305
sub-14,18,neutral,193.0,1.0,10,10.0,-0.17164479196071625,0.1273990124464035
sub-14,18,neutral,193.0,1.0,11,11.0,-0.891438364982605,0.2145637571811676
sub-14,18,neutral,193.0,1.0,12,12.0,0.33476588129997253,-0.06187140941619873
sub-14,18,neutral,193.0,1.0,13,13.0,-0.73712158203125,0.011179333552718163
sub-14,19,reward,199.0,1.0,-2,-2.0,0.04250242933630943,-0.7110429406166077
sub-14,19,reward,199.0,1.0,-1,-1.0,0.534816563129425,-0.052743107080459595
sub-14,19,reward,199.0,1.0,0,0.0,0.3195277154445648,0.5532594919204712
sub-14,19,reward,199.0,1.0,1,1.0,0.3759234845638275,0.38141876459121704
sub-14,19,reward,199.0,1.0,2,2.0,-0.44599977135658264,-0.20548409223556519
sub-14,19,reward,199.0,1.0,3,3.0,-1.182182788848877,-0.23205021023750305
sub-14,19,reward,199.0,1.0,4,4.0,-0.17164479196071625,0.1273990124464035
sub-14,19,reward,199.0,1.0,5,5.0,-0.891438364982605,0.2145637571811676
sub-14,19,reward,199.0,1.0,6,6.0,0.33476588129997253,-0.06187140941619873
sub-14,19,reward,199.0,1.0,7,7.0,-0.73712158203125,0.011179333552718163
sub-14,19,reward,199.0,1.0,8,8.0,0.19568724930286407,-0.46033886075019836
sub-14,19,reward,199.0,1.0,9,9.0,0.17053216695785522,0.9268227219581604
sub-14,19,reward,199.0,1.0,10,10.0,-0.3736014664173126,-0.716855525970459
sub-14,19,reward,199.0,1.0,11,11.0,-1.0907343626022339,-0.5558050274848938
sub-14,19,reward,199.0,1.0,12,12.0,-1.0564364194869995,-0.5582938194274902
sub-14,19,reward,199.0,1.0,13,13.0,0.41325944662094116,-0.4229825437068939
sub-14,20,neutral,204.0,1.0,-2,-2.0,-1.182182788848877,-0.23205021023750305
sub-14,20,neutral,204.0,1.0,-1,-1.0,-0.17164479196071625,0.1273990124464035
sub-14,20,neutral,204.0,1.0,0,0.0,-0.891438364982605,0.2145637571811676
sub-14,20,neutral,204.0,1.0,1,1.0,0.33476588129997253,-0.06187140941619873
sub-14,20,neutral,204.0,1.0,2,2.0,-0.73712158203125,0.011179333552718163
sub-14,20,neutral,204.0,1.0,3,3.0,0.19568724930286407,-0.46033886075019836
sub-14,20,neutral,204.0,1.0,4,4.0,0.17053216695785522,0.9268227219581604
sub-14,20,neutral,204.0,1.0,5,5.0,-0.3736014664173126,-0.716855525970459
sub-14,20,neutral,204.0,1.0,6,6.0,-1.0907343626022339,-0.5558050274848938
sub-14,20,neutral,204.0,1.0,7,7.0,-1.0564364194869995,-0.5582938194274902
sub-14,20,neutral,204.0,1.0,8,8.0,0.41325944662094116,-0.4229825437068939
sub-14,20,neutral,204.0,1.0,9,9.0,-0.07143077999353409,-0.13160645961761475
sub-14,20,neutral,204.0,1.0,10,10.0,-0.33587852120399475,-0.600635826587677
sub-14,20,neutral,204.0,1.0,11,11.0,0.4323192536830902,-0.5151330232620239
sub-14,20,neutral,204.0,1.0,12,12.0,0.07603610306978226,0.6072186231613159
sub-14,20,neutral,204.0,1.0,13,13.0,-0.7691265940666199,0.4494919180870056
sub-14,21,neutral,216.0,1.0,-2,-2.0,-0.33587852120399475,-0.600635826587677
sub-14,21,neutral,216.0,1.0,-1,-1.0,0.4323192536830902,-0.5151330232620239
sub-14,21,neutral,216.0,1.0,0,0.0,0.07603610306978226,0.6072186231613159
sub-14,21,neutral,216.0,1.0,1,1.0,-0.7691265940666199,0.4494919180870056
sub-14,21,neutral,216.0,1.0,2,2.0,-0.7481704354286194,-0.25446563959121704
sub-14,21,neutral,216.0,1.0,3,3.0,-0.26348021626472473,-0.2162824124097824
sub-14,21,neutral,216.0,1.0,4,4.0,-0.1971772164106369,0.4436793029308319
sub-14,21,neutral,216.0,1.0,5,5.0,-0.3046281635761261,-0.14239665865898132
sub-14,21,neutral,216.0,1.0,6,6.0,-1.1113035678863525,-0.3881150186061859
sub-14,21,neutral,216.0,1.0,7,7.0,-0.14878268539905548,0.2842988073825836
sub-14,21,neutral,216.0,1.0,8,8.0,0.27837011218070984,-0.3590601086616516
sub-14,21,neutral,216.0,1.0,9,9.0,0.3865950405597687,1.302047848701477
sub-14,21,neutral,216.0,1.0,10,10.0,0.5298629403114319,0.6628396511077881
sub-14,21,neutral,216.0,1.0,11,11.0,-0.02075294964015484,0.32248201966285706
sub-14,21,neutral,216.0,1.0,12,12.0,0.5374869108200073,0.1855088472366333
sub-14,21,neutral,216.0,1.0,13,13.0,-0.1788817197084427,-0.3872881233692169
sub-14,22,neutral,229.0,1.0,-2,-2.0,-0.02075294964015484,0.32248201966285706
sub-14,22,neutral,229.0,1.0,-1,-1.0,0.5374869108200073,0.1855088472366333
sub-14,22,neutral,229.0,1.0,0,0.0,-0.1788817197084427,-0.3872881233692169
sub-14,22,neutral,229.0,1.0,1,1.0,-0.9352662563323975,0.3955327868461609
sub-14,22,neutral,229.0,1.0,2,2.0,-0.10571910440921783,0.21622566878795624
sub-14,22,neutral,229.0,1.0,3,3.0,-0.15145300328731537,0.3781030774116516
sub-14,22,neutral,229.0,1.0,4,4.0,-1.0686269998550415,-0.8604682087898254
sub-14,22,neutral,229.0,1.0,5,5.0,-0.7493121027946472,-1.0680032968521118
sub-14,22,neutral,229.0,1.0,6,6.0,0.2837107181549072,0.34572434425354004
sub-14,22,neutral,229.0,1.0,7,7.0,0.5237677097320557,0.39636778831481934
sub-14,22,neutral,229.0,1.0,8,8.0,0.7207707762718201,-0.0660221129655838
sub-14,22,neutral,229.0,1.0,9,9.0,-0.44065913558006287,-0.4362696409225464
sub-14,22,neutral,229.0,1.0,10,10.0,0.38620805740356445,-0.7483992576599121
sub-14,22,neutral,229.0,1.0,11,11.0,0.9211987853050232,-0.2694065272808075
sub-14,22,neutral,229.0,1.0,12,12.0,0.4795624613761902,-0.03281649202108383
